,wshed,time_step,per_inc_var,per_diff_rain,num_missing,ave_dist,min_dist,max_dist,stations_removed,percent_neg,ave_diff,dists,id,max_diff,percent_recorded,src
0,Shore Drive and Kendall Street,daily_zeroes,0.212874282219,0.117151250151,2.0,2830.77116702,2645.3087334,3016.23360064,"[u'KVAVIRGI83', u'MMPS-004']",0.0,2.34412384902,"[2645.3087334011743, 3016.2336006379196]",WS-7,8.3819761795,1.0,hrsd
1,Ocean View Ave and Mortons Road,daily_zeroes,0.247520242812,0.226105154155,1.0,1265.5653926,1265.5653926,1265.5653926,[u'04 CHESAPEAKE BEACH'],0.0,2.95227440565,[1265.5653925964589],WS-3,19.04432601,0.875542691751,vab
2,Shore Drive and Great Neck Road,daily_zeroes,1.73766775477,0.277512874557,3.0,1341.95028518,318.227675219,2288.74861321,"[u'KVAVIRGI83', u'KVAVIRGI152', u'MMPS-004']",0.0,4.254646153,"[318.22767521947935, 1418.8745671123354, 2288.748613206604]",WS-1,28.540009166,1.0,hrsd
3,21st and Baltic,daily_zeroes,1.00975165369,0.151889103904,1.0,625.438706598,625.438706598,625.438706598,[u'11 BEACH BOROUGH'],0.0,7.4650630785,[625.4387065983983],WS-6,54.93143078,1.0,vab
4,Shore Drive and Red Tide Road,daily_zeroes,4.15813461371,0.309730848941,3.0,1372.32775271,152.537437623,2340.16248769,"[u'KVAVIRGI83', u'KVAVIRGI152', u'MMPS-004']",0.0,4.72152084485,"[152.5374376233368, 1624.2833328093277, 2340.162487686028]",WS-2,28.617096746,1.0,hrsd
5,S. Rosemont and Clubhouse,daily_zeroes,1.49654057374,0.112154924205,2.0,460.985623923,379.863072614,542.108175232,"[u'16 PLAZA', u'KVAVIRGI95']",0.0,3.0518015675,"[379.86307261429033, 542.1081752322774]",WS-5,8.83881776,0.480463096961,wu
6,S. Rosemont and S. Plaza Trail,daily_zeroes,1.35148471625,0.0999744980887,2.0,462.073193781,457.779917595,466.366469968,"[u'16 PLAZA', u'KVAVIRGI95']",0.0,2.728454943,"[457.7799175949345, 466.36646996773453]",WS-4,8.56192345,0.480463096961,wu
