,wshed,time_step,per_inc_var,per_diff_rain,num_missing,ave_dist,min_dist,max_dist,stations_removed,percent_neg,ave_diff,dists,id,max_diff,percent_recorded,src
0,Shore Drive and Kendall Street,daily,0.24099581587,0.132160238237,2.0,2830.77116702,2645.3087334,3016.23360064,"[u'KVAVIRGI83', u'MMPS-004']",0.0,2.464907905,"[2645.3087334011743, 3016.2336006379196]",WS-7,8.0359228331,1.0,hrsd
1,Ocean View Ave and Mortons Road,daily,0.324824101489,0.09328227165,1.0,1265.5653926,1265.5653926,1265.5653926,[u'04 CHESAPEAKE BEACH'],0.0,2.01127021357,[1265.5653925964589],WS-3,8.4805610656,0.875542691751,vab
2,Shore Drive and Great Neck Road,daily,2.04527048639,0.30124541029,3.0,1341.95028518,318.227675219,2288.74861321,"[u'KVAVIRGI83', u'KVAVIRGI152', u'MMPS-004']",0.0,4.76806236462,"[318.22767521947935, 1418.8745671123354, 2288.748613206604]",WS-1,27.2600115207,1.0,hrsd
3,21st and Baltic,daily,1.14742351638,0.15455474409,1.0,625.438706598,625.438706598,625.438706598,[u'11 BEACH BOROUGH'],0.0,7.61017504386,[625.4387065983983],WS-6,55.613551053,1.0,vab
4,Shore Drive and Red Tide Road,daily,4.81348168922,0.334095973766,3.0,1372.32775271,152.537437623,2340.16248769,"[u'KVAVIRGI83', u'KVAVIRGI152', u'MMPS-004']",0.0,5.24394173161,"[152.5374376233368, 1624.2833328093277, 2340.162487686028]",WS-2,26.9339404762,1.0,hrsd
5,S. Rosemont and Clubhouse,daily,1.6433762038,0.112418981455,2.0,460.985623923,379.863072614,542.108175232,"[u'16 PLAZA', u'KVAVIRGI95']",0.0,2.98272407159,"[379.86307261429033, 542.1081752322774]",WS-5,8.8388177623,0.480463096961,wu
6,S. Rosemont and S. Plaza Trail,daily,1.48698049189,0.100478987848,2.0,462.073193781,457.779917595,466.366469968,"[u'16 PLAZA', u'KVAVIRGI95']",0.0,2.6874797503,"[457.7799175949345, 466.36646996773453]",WS-4,8.5619234509,0.480463096961,wu
